iter	Passed	Remaining
0	136	136818
1	138	68868
2	138	46179
3	139	34841
4	141	28086
5	142	23555
6	143	20322
7	144	17891
8	145	15987
9	146	14464
10	147	13219
11	147	12173
12	148	11298
13	149	10547
14	150	9895
15	151	9321
16	153	8867
17	154	8416
18	155	8015
19	156	7656
20	157	7332
21	158	7029
22	159	6755
23	159	6503
24	160	6273
25	161	6060
26	162	5857
27	163	5669
28	164	5492
29	164	5330
30	166	5190
31	167	5058
32	171	5019
33	173	4921
34	174	4803
35	175	4694
36	176	4594
37	177	4491
38	178	4391
39	179	4298
40	180	4220
41	182	4160
42	183	4092
43	185	4029
44	187	3975
45	188	3914
46	190	3856
47	191	3792
48	192	3736
49	194	3704
50	196	3664
51	198	3619
52	199	3573
53	201	3523
54	202	3473
55	203	3428
56	205	3400
57	207	3368
58	208	3325
59	209	3285
60	210	3244
61	211	3203
62	212	3165
63	214	3131
64	215	3094
65	216	3062
66	217	3029
67	218	2990
68	219	2957
69	220	2926
70	221	2900
71	222	2873
72	223	2843
73	225	2815
74	226	2789
75	227	2764
76	228	2741
77	229	2718
78	230	2692
79	232	2669
80	233	2645
81	234	2624
82	235	2602
83	236	2580
84	237	2556
85	238	2538
86	239	2513
87	240	2494
88	241	2476
89	243	2457
90	244	2437
91	247	2445
92	252	2458
93	253	2446
94	255	2429
95	256	2411
96	257	2393
97	258	2379
98	259	2361
99	260	2345
100	268	2387
101	274	2418
102	276	2410
103	278	2398
104	279	2381
105	280	2364
106	281	2347
107	289	2387
108	290	2373
109	291	2357
110	292	2344
111	293	2328
112	299	2348
113	301	2341
114	302	2326
115	303	2310
116	304	2296
117	306	2287
118	307	2273
119	308	2264
120	312	2273
121	314	2266
122	315	2249
123	316	2236
124	317	2222
125	318	2210
126	319	2197
127	320	2182
128	321	2169
129	325	2180
130	327	2171
131	328	2159
132	329	2146
133	330	2134
134	331	2122
135	332	2110
136	332	2097
137	333	2083
138	335	2077
139	336	2069
140	338	2062
141	339	2051
142	340	2040
143	341	2028
144	342	2016
145	343	2006
146	343	1995
147	348	2005
148	349	1997
149	351	1991
150	352	1981
151	353	1972
152	354	1961
153	355	1951
154	356	1941
155	357	1932
156	361	1943
157	363	1935
158	364	1926
159	366	1922
160	367	1913
161	368	1904
162	374	1923
163	375	1916
164	378	1913
165	385	1935
166	386	1930
167	388	1923
168	390	1918
169	396	1933
170	398	1933
171	399	1924
172	400	1916
173	401	1907
174	402	1898
175	408	1911
176	409	1903
177	410	1897
178	412	1890
179	413	1882
180	413	1872
181	414	1864
182	415	1856
183	420	1866
184	422	1859
185	423	1851
186	424	1845
187	425	1837
188	427	1833
189	429	1828
190	430	1822
191	431	1817
192	433	1811
193	434	1804
194	435	1797
195	438	1799
196	439	1792
197	441	1787
198	443	1783
199	444	1777
200	447	1778
201	451	1784
202	452	1777
203	453	1771
204	457	1772
205	458	1766
206	460	1762
207	461	1756
208	462	1749
209	463	1745
210	465	1738
211	471	1753
212	472	1747
213	474	1742
214	475	1735
215	483	1753
216	484	1749
217	486	1744
218	487	1738
219	488	1733
220	494	1743
221	496	1738
222	497	1733
223	498	1728
224	505	1740
225	506	1734
226	507	1728
227	509	1724
228	510	1718
229	511	1711
230	512	1705
231	513	1699
232	514	1694
233	515	1688
234	517	1686
235	518	1680
236	520	1674
237	521	1668
238	521	1662
239	527	1669
240	528	1664
241	529	1658
242	530	1652
243	531	1646
244	532	1641
245	533	1635
246	539	1645
247	541	1640
248	542	1635
249	543	1629
250	544	1623
251	544	1617
252	545	1610
253	547	1609
254	549	1605
255	550	1600
256	551	1594
257	552	1589
258	553	1583
259	554	1577
260	555	1572
261	558	1573
262	559	1568
263	560	1563
264	562	1558
265	563	1554
266	564	1548
267	565	1544
268	566	1539
269	567	1534
270	568	1529
271	569	1524
272	570	1519
273	571	1514
274	572	1510
275	573	1505
276	574	1499
277	575	1495
278	578	1494
279	579	1490
280	581	1487
281	582	1482
282	583	1477
283	584	1472
284	585	1468
285	586	1463
286	586	1458
287	588	1453
288	589	1450
289	590	1446
290	591	1442
291	592	1437
292	594	1434
293	595	1429
294	596	1424
295	596	1419
296	598	1416
297	600	1413
298	601	1409
299	601	1404
300	602	1399
301	603	1395
302	604	1391
303	605	1386
304	606	1381
305	611	1387
306	613	1385
307	615	1382
308	616	1378
309	617	1374
310	618	1369
311	624	1376
312	625	1372
313	626	1368
314	627	1365
315	628	1361
316	629	1357
317	637	1367
318	638	1363
319	639	1359
320	640	1355
321	641	1351
322	642	1347
323	655	1368
324	656	1364
325	657	1359
326	658	1355
327	663	1359
328	664	1355
329	666	1353
330	667	1349
331	668	1344
332	669	1340
333	670	1336
334	671	1332
335	672	1328
336	678	1334
337	679	1331
338	681	1328
339	682	1324
340	683	1320
341	684	1316
342	685	1312
343	686	1308
344	687	1305
345	688	1302
346	689	1298
347	690	1294
348	691	1289
349	692	1285
350	693	1281
351	694	1277
352	694	1273
353	696	1270
354	697	1267
355	698	1263
356	699	1260
357	700	1256
358	701	1252
359	702	1248
360	703	1244
361	704	1240
362	709	1245
363	710	1241
364	712	1238
365	713	1235
366	714	1231
367	715	1227
368	715	1224
369	717	1221
370	718	1217
371	719	1214
372	720	1211
373	721	1207
374	722	1203
375	723	1200
376	724	1196
377	725	1193
378	725	1189
379	727	1186
380	728	1183
381	729	1179
382	730	1176
383	731	1173
384	732	1169
385	732	1165
386	734	1162
387	734	1159
388	739	1161
389	740	1158
390	741	1155
391	743	1153
392	744	1149
393	745	1146
394	745	1142
395	751	1146
396	752	1143
397	753	1140
398	755	1137
399	756	1134
400	756	1130
401	757	1127
402	758	1124
403	767	1131
404	768	1128
405	769	1125
406	770	1121
407	770	1118
408	771	1115
409	772	1112
410	778	1115
411	779	1112
412	780	1110
413	782	1107
414	783	1104
415	785	1102
416	786	1099
417	787	1096
418	788	1093
419	789	1090
420	794	1093
421	797	1092
422	798	1089
423	799	1086
424	801	1083
425	802	1080
426	808	1084
427	809	1082
428	810	1079
429	811	1076
430	812	1073
431	818	1076
432	820	1074
433	821	1071
434	823	1069
